"","DEPT","SP","GR","CALI","BITSIZE","MSFL","LLD","LLS","RHOB","NPHI","DT","MUDWGT","well_name","DEPTH","VSH_linear","VSH_larionov_young","VSH_larionov_old","VSH_clavier","VSH_steiber","PHID","PHIND"
"53",124,-29.28487,65.9266,15.4863,12.25,2.3248,10.0746,4.1931,2.0868,59.1195,136.2162,8.9,"WA2",124,0.260496744549507,0.0788908218289753,0.143531209363047,0.132375681577439,0.105081105436399,0.363354838709677,41.8045889047412
"54",124.5,-29.51121,66.0537,15.6806,12.25,2.6845,10.1914,4.1399,2.1345,58.3347,136.67821,8.9,"WA2",124.5,0.2611981647184,0.0791823082620168,0.143991883127329,0.132805663568816,0.105423707520996,0.33258064516129,41.2495323244733
"55",125,-29.83156,68.4909,15.8819,12.25,3.0481,10.2675,4.1122,2.1565,57.1971,136.1523,8.9,"WA2",125,0.274648213779181,0.0848743289298582,0.152912715713837,0.141134752655942,0.112069128583164,0.318387096774194,40.4450838715498
"56",125.5,-30.3173,70.195,15.9438,12.25,3.2439,10.2038,4.0701,2.1372,57.0942,135.6264,8.9,"WA2",125.5,0.284052541944485,0.0889724718363667,0.159249748204495,0.147054220298533,0.116802967127678,0.330838709677419,40.3723737715026
"57",126,-30.84323,70.9149,15.6185,12.25,3.45,10.0764,4.0428,2.1895,57.5952,135.10049,8.9,"WA2",126,0.288025416685522,0.0907336584900183,0.161951761262421,0.14957883915905,0.118824858479225,0.297096774193549,40.7264983121139
"58",126.5,-31.76418,71.5119,15.3379,12.25,3.3637,9.9,4.0087,2.2369,58.0924,134.06551,8.9,"WA2",126.5,0.291320049579534,0.092207851241619,0.164203806797376,0.151683314272681,0.120511657977859,0.266516129032258,41.0779622705839
"59",127,-32.91481,71.3985,15.1998,12.25,3.2682,9.6465,4.0027,2.3009,58.6241,132.9491,8.9,"WA2",127,0.290694234889114,0.0919268695459056,0.163775239605584,0.151282810530769,0.120190543730046,0.225225806451613,41.4538045749355
"60",127.5,-33.44536,71.5812,15.0588,12.25,3.3438,9.3995,3.9847,2.3055,57.4887,131.8326,8.9,"WA2",127.5,0.291702491890347,0.0923797844168935,0.164465892064663,0.151928242109405,0.120708058211055,0.222258064516129,40.6509534103276
"61",128,-34.4806,70.5598,14.9007,12.25,3.5604,9.1432,3.9666,2.3085,55.1686,130.7162,8.9,"WA2",128,0.286065744758112,0.0898626876269827,0.16061709844575,0.148331753558568,0.117825880406147,0.220322580645161,39.010402253755
"62",128.5,-35.41453,68.8968,14.7425,12.25,3.8072,9.4615,4.06,2.3149,53.186,130.2865,8.9,"WA2",128.5,0.276888233028226,0.0858415178245855,0.154414647939332,0.142537518856075,0.113190078169943,0.216193548387097,37.6084919642517
"63",129,-36.74696,66.6067,14.5843,12.25,4.2477,10.1522,4.7655,2.3105,51.6737,130.43491,8.9,"WA2",129,0.264249977097611,0.0804566595794825,0.146001453423277,0.134681507913722,0.106918863928875,0.219032258064516,36.5391519251615
"64",129.5,-38.17861,64.3975,14.4261,12.25,5.3925,11.2627,5.8038,2.2932,51.1048,130.5833,8.9,"WA2",129.5,0.252058179795346,0.0754248343251177,0.138023958407134,0.127236437895139,0.10098955564852,0.230193548387097,36.1369172184742
