"","DEPT","SP","GR","CALI","BITSIZE","LL8","ILM","ILD","RHOB","NPHI","DT","MUDWGT","well_name","DEPTH","VSH_linear","VSH_larionov_young","VSH_larionov_old","VSH_clavier","VSH_steiber","PHID","PHIND"
"75",57,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",57,NA,NA,NA,NA,NA,NA,NA
"76",57.5,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",57.5,NA,NA,NA,NA,NA,NA,NA
"77",58,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",58,NA,NA,NA,NA,NA,NA,NA
"78",58.5,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",58.5,NA,NA,NA,NA,NA,NA,NA
"79",59,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",59,NA,NA,NA,NA,NA,NA,NA
"80",59.5,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",59.5,NA,NA,NA,NA,NA,NA,NA
"81",60,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",60,NA,NA,NA,NA,NA,NA,NA
"82",60.5,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",60.5,NA,NA,NA,NA,NA,NA,NA
"83",61,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",61,NA,NA,NA,NA,NA,NA,NA
"84",61.5,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",61.5,NA,NA,NA,NA,NA,NA,NA
"85",62,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",62,NA,NA,NA,NA,NA,NA,NA
"86",62.5,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",62.5,NA,NA,NA,NA,NA,NA,NA
"87",63,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",63,NA,NA,NA,NA,NA,NA,NA
"88",63.5,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",63.5,NA,NA,NA,NA,NA,NA,NA
"89",64,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",64,NA,NA,NA,NA,NA,NA,NA
"90",64.5,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",64.5,NA,NA,NA,NA,NA,NA,NA
"91",65,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",65,NA,NA,NA,NA,NA,NA,NA
"92",65.5,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",65.5,NA,NA,NA,NA,NA,NA,NA
"93",66,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",66,NA,NA,NA,NA,NA,NA,NA
"94",66.5,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",66.5,NA,NA,NA,NA,NA,NA,NA
"95",67,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",67,NA,NA,NA,NA,NA,NA,NA
"96",67.5,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",67.5,NA,NA,NA,NA,NA,NA,NA
"97",68,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",68,NA,NA,NA,NA,NA,NA,NA
"98",68.5,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",68.5,NA,NA,NA,NA,NA,NA,NA
"99",69,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",69,NA,NA,NA,NA,NA,NA,NA
"100",69.5,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",69.5,NA,NA,NA,NA,NA,NA,NA
"101",70,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",70,NA,NA,NA,NA,NA,NA,NA
"102",70.5,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",70.5,NA,NA,NA,NA,NA,NA,NA
"103",71,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",71,NA,NA,NA,NA,NA,NA,NA
"104",71.5,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",71.5,NA,NA,NA,NA,NA,NA,NA
"105",72,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",72,NA,NA,NA,NA,NA,NA,NA
"106",72.5,NA,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,"ES2",72.5,NA,NA,NA,NA,NA,NA,NA
