"","DEPT","SP","GR","CALI","BITSIZE","LL8","ILM","ILD","RHOB","NPHI","DT","MUDWGT","well_name","DEPTH","VSH_linear","VSH_larionov_young","VSH_larionov_old","VSH_clavier","VSH_steiber","PHID","PHIND"
"38",119.5,-14.65759,55.741,13.115,12.25,10.8566,3.3553,3.4762,2.2876,37.2995,136.43851,9,"WA1",119.5,0.127258875809892,0.0320324649437098,0.0636691817594571,0.0581587310602298,0.0463521029447457,0.233806451612903,26.3752475410831
"39",120,-17.03294,54.5366,13.1201,12.25,13.0051,3.3364,3.5685,2.3053,38.8467,135.8615,9,"WA1",120,0.121109086257896,0.0302324027305498,0.0603272531156623,0.0550745097528815,0.043915397893668,0.222387096774194,27.4692151044657
"40",120.5,-16.78967,53.7779,13.1408,12.25,12.8447,3.3176,3.5721,2.3322,40.4025,136.4801,9,"WA1",120.5,0.117235086479501,0.0291129601195634,0.0582366179301073,0.0531463898005862,0.0423915465793177,0.205032258064516,28.5692495917975
"41",121,-15.4512,54.1347,13.2601,12.25,11.7242,3.2589,3.5688,2.3031,40.5368,137.3636,9,"WA1",121,0.119056943762922,0.0296380242553709,0.0592183994521114,0.0540517253346804,0.0431071155415123,0.223806451612903,28.66428303279
"42",121.5,-13.32085,55.6548,13.4894,12.25,8.6128,3.1879,3.5654,2.2817,38.7552,138.53931,9,"WA1",121.5,0.126818729795792,0.0319026874783644,0.0634290491406648,0.0579370328580959,0.0461769806170354,0.237612903225807,27.4045797899893
"43",122,-10.20619,58.3025,13.655,12.25,6.2329,3.1252,3.5519,2.2763,37.9352,139.23801,9,"WA1",122,0.140338156727724,0.0359565260606154,0.0708721905851661,0.064814450177763,0.0516077425508883,0.241096774193548,26.8247789058412
"44",122.5,-8.41593,60.6991,13.6823,12.25,5.6535,3.1066,3.5199,2.2661,37.4246,139.5092,9,"WA1",122.5,0.152575441384244,0.039749093873797,0.0777307901250415,0.0711614209049254,0.0566174337585878,0.247677419354839,26.4637679598357
"45",123,-8.20447,62.1333,13.6709,12.25,5.6271,3.134,3.458,2.258,37.8915,139.72639,9,"WA1",123,0.159898613233689,0.0420762708052684,0.0818911849792773,0.0750155770104202,0.0596591477378916,0.252903225806452,26.7939333832458
"46",123.5,-9.31109,61.9961,13.5772,12.25,7.0489,3.1137,3.3712,2.2216,38.881,139.6828,9,"WA1",123.5,0.159198056004751,0.0418517504905475,0.0814913592837013,0.0746450539781602,0.0593667307530823,0.276387096774193,27.4937133798553
"47",124,-9.93134,62.1548,13.331,12.25,8.5808,3.0821,3.2778,2.1971,39.9921,139.4192,9,"WA1",124,0.160008394432102,0.0421114909564478,0.0819538750802769,0.0750736750528291,0.0597049988101564,0.292193548387097,28.2794398766995
"48",124.5,-9.43447,63.7144,12.9728,12.25,6.7153,3.0509,3.2426,2.2043,40.4078,138.9995,9,"WA1",124.5,0.167971871503916,0.0446929757481477,0.086526928072874,0.0793134694587019,0.063051172835803,0.287548387096774,28.5733528389208
"49",125,-8.73311,65.3096,12.8548,12.25,5.913,3.055,3.4111,2.2035,39.1176,139.3015,9,"WA1",125,0.176117125815891,0.0473884977110586,0.091256888003175,0.0837021370266859,0.0665153727909767,0.288064516129032,27.661070215426
"50",125.5,-8.06146,65.9146,12.835,12.25,5.7967,3.0829,3.5609,2.2303,37.8274,140.76401,9,"WA1",125.5,0.179206317678194,0.0484256269366766,0.093064801409586,0.0853804624758343,0.0678403902429218,0.270774193548387,26.748696317988
"51",126,-7.45418,66.3304,12.8233,12.25,6.8469,3.1377,3.7173,2.2239,37.5614,143.2561,9,"WA1",126,0.181329434994467,0.0491431967279159,0.0943118277353145,0.086538371385197,0.0687546381205933,0.274903225806452,26.5606319742543
"52",126.5,-5.44443,66.9187,12.7683,12.25,6.7683,3.1695,3.9022,2.2077,38.0655,142.2854,9,"WA1",126.5,0.184333354949166,0.0501651577295196,0.0960824810400636,0.0881828523916393,0.0700532143315239,0.285354838709677,26.9171294683699
"53",127,-2.72217,67.2967,12.6984,12.25,5.5758,3.2415,4.1434,2.1824,38.2897,140.1897,9,"WA1",127,0.186263461600324,0.0508259644187807,0.0972240748139716,0.089243321717333,0.0708907212960752,0.301677419354839,27.0757468535528
"54",127.5,0,66.7011,12.635,12.25,5.2619,3.4138,4.3995,2.2464,38.2106,137.6445,9,"WA1",127.5,0.183222267099188,0.049786237695651,0.095426693583808,0.0875737452831613,0.0695722074125432,0.260387096774194,27.0196017161631
"55",128,-2.02325,65.494,12.8424,12.25,6.2131,3.8237,4.6714,2.3065,38.1143,134.4957,9,"WA1",128,0.177058691071112,0.0477037377404017,0.0918071079951742,0.0842128690893011,0.0669185737402314,0.221612903225806,26.951335558455
"56",128.5,-4.85219,63.4927,13.0274,12.25,8.4738,3.9225,4.8692,2.3239,38.024,133.8333,9,"WA1",128.5,0.166839848634705,0.0443227904930404,0.0858737779507261,0.0787077139457666,0.0625730706336532,0.210387096774193,26.8874398068177
"57",129,-7.27493,63.159,13.0954,12.25,9.7267,3.9323,5.0514,2.309,37.545,133.7901,9,"WA1",129,0.165135942313299,0.0437676147552869,0.0848925952498732,0.077797854360413,0.0618549661901442,0.22,26.5487798683857
"58",129.5,-9.06177,64.2843,13.1226,12.25,7.3659,3.9385,5.2405,2.329,37.0934,133.95151,9,"WA1",129.5,0.170881839177182,0.0456495175243882,0.0882106213840636,0.0808752913406057,0.0642839155366722,0.207096774193548,26.2294034685683
"59",130,-10.0098,66.2855,13.0695,12.25,5.4997,3.9676,5.3742,2.31,37.2494,133.82291,9,"WA1",130,0.181100171003364,0.049065521923164,0.0941769912481183,0.0864131604844312,0.0686557716597544,0.219354838709677,26.339760030278
"60",130.5,-11.88164,67.328,12.9533,12.25,5.6518,3.9604,5.4288,2.2784,37.671,133.5582,9,"WA1",130.5,0.186423282600803,0.0508808287917574,0.0973187406187921,0.0893312680556513,0.070960180753626,0.239741935483871,26.6379589795805
"61",131,-12.08347,67.1508,12.8026,12.25,6.1575,3.9116,5.294,2.2919,37.9925,133.11031,9,"WA1",131,0.185518481281795,0.0505705193350434,0.0967830817773544,0.0888336462958323,0.0705671698841001,0.231032258064516,26.8652510890394
"62",131.5,-11.82892,67.1374,12.6931,12.25,5.7813,3.8285,5.0248,2.3251,38.5463,132.231,9,"WA1",131.5,0.185450059511622,0.0505470827677589,0.0967426021635173,0.0887960426715475,0.0705374721034652,0.209612903225806,27.2567531197243
"63",132,-11.53036,66.9419,12.6121,12.25,5.428,3.7354,4.6269,2.3446,39.1113,132.31911,9,"WA1",132,0.184451816521407,0.0502056210257877,0.0961524591628452,0.0882478527230111,0.0701045460887932,0.197032258064516,27.6562163843928
"64",132.5,-12.00069,68.6779,12.6874,12.25,5.7769,3.5021,4.2976,2.3538,39.6948,132.6422,9,"WA1",132.5,0.193316010030427,0.0532685352526415,0.101421490780138,0.0931439061872037,0.0739719823286917,0.191096774193548,28.068787514044
"65",133,-12.63894,69.8139,12.7819,12.25,6.1415,3.2419,4.0068,2.3586,40.7884,132.9137,9,"WA1",133,0.199116542188404,0.0553108607745085,0.104904642364135,0.0963823886090649,0.0765312761080714,0.188,28.8420605935152
"66",133.5,-13.62058,70.888,12.9191,12.25,5.1829,3.001,3.8695,2.3439,42.0489,134.019,9,"WA1",133.5,0.204601006616998,0.057270046472486,0.108223860224057,0.0994697694740301,0.0789721960809432,0.197483870967742,29.7333902463989
"67",134,-14.96881,72.2847,13.0238,12.25,4.374,2.8133,3.7449,2.3327,43.4443,135.54201,9,"WA1",134,0.211732699632003,0.0598592279958127,0.112577903484627,0.103521536499242,0.0821773166063911,0.204709677419355,30.7201001670082
"68",134.5,-16.55365,72.7178,13.1311,12.25,3.8095,2.8044,3.6243,2.3557,44.8419,135.95151,9,"WA1",134.5,0.213944152517232,0.0606717690767842,0.113936807427723,0.104786507680066,0.0831784066516203,0.189870967741935,31.7082958119353
"69",135,-17.01879,72.8413,13.3507,12.25,4.1066,2.8061,3.5069,2.3419,45.3891,136.35561,9,"WA1",135,0.214574756145322,0.060904313711311,0.11432506766955,0.105147964411204,0.0834645021836758,0.198774193548387,32.0952481684596
"70",135.5,-17.56853,72.66,13.5216,12.25,4.5653,2.8188,3.4044,2.2786,44.8918,136.3759,9,"WA1",135.5,0.213649019807081,0.0605630635513034,0.113755211913518,0.104617453835739,0.0830446056701568,0.239612903225806,31.7437483733679
"71",136,-18.31756,72.6385,13.7239,12.25,4.828,2.8325,3.3697,2.1936,42.2314,138.3376,9,"WA1",136,0.213539238608669,0.0605226490956574,0.113687682365341,0.104554588987046,0.0829948510740903,0.294451612903226,29.8628351610521
"72",136.5,-18.86011,74.2755,13.6598,12.25,4.4854,2.8601,3.3818,2.1476,38.3805,140.8544,9,"WA1",136.5,0.221897927994767,0.0636325684677373,0.118858862442747,0.109369870032962,0.0868075926231104,0.324129032258064,27.1400795860988
