"","DEPT","SP","GR","CALI","LL8","ILM","ILD","LLD","LLS","RHOB","NPHI","DT","well_name","DEPTH","VSH_linear","VSH_larionov_young","VSH_larionov_old","VSH_clavier","VSH_steiber","PHID","PHIND"
"1299",701,-45.35213,75.3796,12.6123,11.5518,7.0441,8.7447,NA,NA,NA,NA,143.9915,"SB19",701,0.404608826958732,0.15128034130606,0.248246119158233,0.23036081319092,0.184686912272338,NA,NA
"1300",701.5,-44.90888,77.0455,12.5895,11.8651,7.0423,8.659,NA,NA,NA,NA,143.8956,"SB19",701.5,0.417345795821626,0.159059662749577,0.258546994274968,0.240021105440309,0.192741964244414,NA,NA
"1301",702,-45.15002,78.7918,12.591,11.7562,7.0618,8.6731,NA,NA,NA,NA,144.79539,"SB19",702,0.430697478830973,0.167491893159039,0.269542066139605,0.250336862796987,0.201391781233298,NA,NA
"1302",702.5,-45.25616,80.023,12.5896,11.614,7.0533,8.6873,NA,NA,NA,NA,146.2119,"SB19",702.5,0.440110862625915,0.173612853107465,0.277417195114677,0.257728451045923,0.207621178058446,NA,NA
"1303",703,-44.97391,80.4165,12.5875,11.838,7.0986,8.7008,NA,NA,NA,NA,146.981,"SB19",703,0.443119444922301,0.175600522084397,0.279955889500776,0.26011183259236,0.209635536765895,NA,NA
"1304",703.5,-44.96605,80.4961,12.6839,12.1846,7.0087,8.714,NA,NA,NA,NA,147.8889,"SB19",703.5,0.443728042510083,0.176004470384193,0.280470723632528,0.260595204684918,0.210044411083553,NA,NA
"1305",704,-45.57039,80.5708,12.667,12.1717,6.9597,8.7272,NA,NA,NA,NA,147.19411,"SB19",704,0.444299176176004,0.176384126423016,0.280954260951837,0.261049203272426,0.210428544787267,NA,NA
"1306",704.5,-46.16943,80.661,12.5753,12.1105,6.8882,8.6754,NA,NA,NA,NA,146.4908,"SB19",704.5,0.444988818166179,0.176843301596311,0.281538641122178,0.261597898265434,0.210892939254302,NA,NA
"1307",705,-46.54368,81.9014,12.5653,12.1718,6.842,8.649,NA,NA,NA,NA,145.7565,"SB19",705,0.45447254238584,0.183240795348294,0.289631766907729,0.269198424351869,0.217341275485449,NA,NA
"1308",705.5,-46.47112,83.5883,12.5611,12.2529,6.8214,8.6227,NA,NA,NA,NA,145.0222,"SB19",705.5,0.467370070913852,0.192194665405918,0.300810277856821,0.279701750499358,0.226300854618587,NA,NA
"1309",706,-46.64716,84.3769,12.5834,12.3458,6.8912,8.6023,NA,NA,NA,NA,144.74541,"SB19",706,0.473399468623966,0.196483144124891,0.306105015468743,0.28467894559821,0.23056654178302,NA,NA
"1310",706.5,-46.7001,84.483,12.6071,12.5822,6.9417,8.5922,NA,NA,NA,NA,146.7419,"SB19",706.5,0.47421067721773,0.197065203371875,0.306820764947466,0.285351886330781,0.231144284058016,NA,NA
"1311",707,-46.22155,83.967,12.7007,12.9441,6.9831,8.5794,NA,NA,NA,NA,147.4603,"SB19",707,0.470265496874821,0.194245795169033,0.30334738368576,0.282086509400405,0.228343080399654,NA,NA
"1312",707.5,-45.58889,83.1605,12.6452,12.9093,6.978,8.4727,NA,NA,NA,NA,147.9554,"SB19",707.5,0.46409924116444,0.189895845942612,0.297956449093854,0.277019692082713,0.224007578528143,NA,NA
"1313",708,-45.28343,82.4702,12.5533,12.5101,6.9562,8.93,NA,NA,NA,NA,147.9205,"SB19",708,0.458821415601048,0.186226883994114,0.293378697748673,0.272718343583025,0.220337520611757,NA,NA
"1314",708.5,-45.44318,83.1107,12.5545,12.2981,6.9948,8.9476,NA,NA,NA,NA,147.6447,"SB19",708.5,0.463718485387159,0.189629492334713,0.297625076284642,0.276708291751752,0.223741560014417,NA,NA
"1315",709,-46.20522,84.3666,12.5592,12.2277,7.0433,8.9683,NA,NA,NA,NA,147.06419,"SB19",709,0.473320717931074,0.196426703302506,0.306035574630599,0.284613659500096,0.230510504204027,NA,NA
"1316",709.5,-46.67896,85.1575,12.577,12.1278,7.1371,8.9997,NA,NA,NA,NA,146.33971,"SB19",709.5,0.479367700747367,0.200793930406339,0.311389806728063,0.289648332353285,0.234838590302496,NA,NA
"1317",710,-46.29301,85.1481,12.5814,12.517,7.4217,8.9914,NA,NA,NA,NA,145.9864,"SB19",710,0.479295831182981,0.200741626361382,0.311325906723649,0.28958823652295,0.234786849033093,NA,NA
"1318",710.5,-45.84425,84.9913,12.588,13.419,7.3287,8.9663,NA,NA,NA,NA,146.80859,"SB19",710.5,0.47809698568343,0.199870570548067,0.310260938574055,0.288586703929846,0.233924833856749,NA,NA
"1319",711,-45.49989,85.0782,12.5947,14.3251,7.1612,8.9176,NA,NA,NA,NA,147.6308,"SB19",711,0.478761396869087,0.200352986826153,0.310850935056067,0.289141548825241,0.234402320574888,NA,NA
"1320",711.5,-45.69203,85.2524,12.6021,14.3413,7.0715,8.9376,NA,NA,NA,NA,148.35921,"SB19",711.5,0.480093277519735,0.201322519015004,0.312035281570796,0.290255393217364,0.235361365376737,NA,NA
"1321",712,-46.16888,83.9173,12.5814,13.5011,6.8913,9.0096,NA,NA,NA,NA,148.7413,"SB19",712,0.469885505667374,0.193975739002238,0.303013837021667,0.281772971760377,0.228074407385072,NA,NA
"1322",712.5,-46.23331,81.7227,12.6435,13.1479,6.8157,8.9445,NA,NA,NA,NA,148.4893,"SB19",712.5,0.453106256092666,0.182309509875552,0.288459248648086,0.268097083542339,0.216405083481315,NA,NA
"1323",713,-46.41116,78.8407,12.7433,13.7413,6.8172,8.9759,NA,NA,NA,NA,147.84509,"SB19",713,0.431071353479748,0.167732193898766,0.269852889525729,0.250628552324322,0.201637104068191,NA,NA
"1324",713.5,-46.4219,77.107,12.7854,14.8521,6.8303,8.916,NA,NA,NA,NA,147.4716,"SB19",713.5,0.417816006269473,0.159351744062944,0.258930763754058,0.240381085307618,0.193042961589724,NA,NA
"1325",714,-46.19044,77.9203,12.7044,16.2542,6.8106,8.8105,NA,NA,NA,NA,148.5183,"SB19",714,0.424034252728559,0.163247653416397,0.26402948010636,0.245164270890713,0.197048211713,NA,NA
"1326",714.5,-46.26479,79.91,12.6467,17.027,6.86,8.6121,NA,NA,NA,NA,151.5161,"SB19",714.5,0.439246898713611,0.173044889988496,0.276690121996294,0.257045910719465,0.207044833609693,NA,NA
