DEPT,SP,GR,CALI,BITSIZE,LL8,ILM,ILD,RHOB,NPHI,DT,MUDWGT,well_name,DEPTH
184.5,-8.90136,72.3249,13.206,12.25,5.9796,3.7228,4.7796,2.3928,33.2716,131.6581,9.0,WA1,184.5
185.0,-9.52901,71.1203,13.3078,12.25,5.8138,3.7072,4.812,2.3997,32.9312,129.9337,9.0,WA1,185.0
185.5,-10.07115,70.5659,13.5139,12.25,5.581,3.6905,4.8386,2.4019,32.8361,128.948,9.0,WA1,185.5
186.0,-9.60918,71.3653,13.2371,12.25,5.3576,3.6867,4.8386,2.4135,32.7102,128.673,9.0,WA1,186.0
186.5,-8.29553,72.3997,12.8318,12.25,5.2538,3.6858,4.8386,2.4174,32.4844,128.49339,9.0,WA1,186.5
187.0,-7.84377,72.2486,13.0783,12.25,5.2429,3.6612,4.8092,2.4224,32.6131,128.3201,9.0,WA1,187.0
187.5,-7.67761,72.3805,13.6418,12.25,5.4046,3.6706,4.7438,2.4313,33.0095,128.4263,9.0,WA1,187.5
188.0,-6.85934,72.8781,14.2734,12.25,5.5675,3.6831,4.624,2.4257,33.1617,128.9879,9.0,WA1,188.0
188.5,-3.95479,73.6223,13.6278,12.25,5.7348,3.652,4.4967,2.4258,33.276,129.6205,9.0,WA1,188.5
189.0,-1.88563,73.9898,13.0307,12.25,5.9071,3.5548,4.3682,2.4326,33.8618,129.7429,9.0,WA1,189.0
189.5,-2.47507,73.8865,12.8482,12.25,5.9638,3.4065,4.2522,2.4174,34.6432,129.08521,9.0,WA1,189.5
190.0,-5.1598,74.218,13.1666,12.25,5.6395,3.2312,4.1393,2.4263,35.1475,128.1564,9.0,WA1,190.0
190.5,-7.58954,74.5496,13.228,12.25,5.0963,3.0792,4.0172,2.4346,36.0032,128.15109,9.0,WA1,190.5
191.0,-7.65458,74.6944,13.1651,12.25,4.8747,3.0539,3.9164,2.4343,37.7902,129.40891,9.0,WA1,191.0
191.5,-6.66172,74.1436,13.2189,12.25,4.9905,3.0416,3.834,2.4357,38.5349,132.1474,9.0,WA1,191.5
192.0,-6.13436,73.2238,13.3982,12.25,5.0418,3.0927,3.8629,2.4397,38.7762,134.5005,9.0,WA1,192.0
192.5,-6.5493,72.2827,13.5808,12.25,4.9796,3.2119,4.066,2.381,38.9977,135.3869,9.0,WA1,192.5
193.0,-4.87023,71.1398,13.7637,12.25,5.1861,3.3799,4.2916,2.352,37.7549,135.4502,9.0,WA1,193.0
193.5,-1.82417,70.2554,13.7627,12.25,5.7936,3.5659,4.4179,2.3505,35.9514,136.5415,9.0,WA1,193.5
194.0,0.82378,68.9052,13.7303,12.25,6.8654,3.7033,4.5423,2.3625,34.4249,137.88341,9.0,WA1,194.0
194.5,-0.28755,67.7014,14.209,12.25,6.2094,3.7865,4.6926,2.3407,33.6329,138.3208,9.0,WA1,194.5
195.0,-1.77099,68.1328,13.9814,12.25,6.0028,3.8221,4.8088,2.346,33.1054,137.3027,9.0,WA1,195.0
195.5,-5.41893,70.1833,13.6401,12.25,5.7976,3.8125,4.9278,2.3571,33.499,133.36169,9.0,WA1,195.5
196.0,-7.08657,73.3058,13.6634,12.25,5.7061,3.7319,4.8388,2.3628,35.194,125.6437,9.0,WA1,196.0
196.5,-8.7541,75.4957,13.6492,12.25,5.5743,3.5906,4.7345,2.3702,36.4894,123.4395,9.0,WA1,196.5
197.0,-9.74695,74.6756,13.5399,12.25,5.371,3.4828,4.5236,2.3887,36.9037,123.6775,9.0,WA1,197.0
197.5,-10.23409,72.8174,13.5036,12.25,5.1752,3.4232,4.3946,2.3891,36.3802,124.7587,9.0,WA1,197.5
198.0,-9.54053,70.6341,13.3059,12.25,5.2707,3.425,4.4256,2.3674,35.8023,126.5687,9.0,WA1,198.0
198.5,-7.91136,70.8906,13.0248,12.25,5.6167,3.4196,4.3534,2.359,35.2243,127.9215,9.0,WA1,198.5
199.0,-7.2907,72.9175,12.8797,12.25,5.8132,3.4173,4.4307,2.3638,35.2305,129.6562,9.0,WA1,199.0
199.5,-7.20194,73.1453,13.2162,12.25,5.4983,3.4526,4.5398,2.3424,35.8231,130.0636,9.0,WA1,199.5
200.0,-6.63448,73.3731,13.1813,12.25,5.292,3.7169,4.6732,2.3315,36.1982,129.9101,9.0,WA1,200.0
200.5,-5.86862,73.3731,12.8654,12.25,5.2571,3.9029,4.7553,2.365,35.6802,129.8176,9.0,WA1,200.5
201.0,-4.07147,73.2377,12.8878,12.25,5.9168,3.948,4.7868,2.3998,34.7995,129.5473,9.0,WA1,201.0
201.5,-2.9838,73.3466,12.9777,12.25,6.8704,3.8495,4.7887,2.3788,34.287,129.27879,9.0,WA1,201.5
202.0,-4.38444,73.9134,13.0512,12.25,7.0758,3.6877,4.7155,2.4039,35.2288,129.16451,9.0,WA1,202.0
202.5,-6.16788,74.6797,13.0512,12.25,5.9648,3.5423,4.6435,2.3876,36.1957,127.7333,9.0,WA1,202.5
203.0,-6.87792,74.8118,13.0082,12.25,4.9428,3.5009,4.4717,2.3791,36.8333,125.8179,9.0,WA1,203.0
203.5,-6.22716,74.5857,12.9963,12.25,4.5262,3.4759,4.2947,2.3868,36.978,126.9635,9.0,WA1,203.5
204.0,-5.6728,75.1191,13.0232,12.25,5.3952,3.4624,4.1246,2.4109,37.1303,130.4901,9.0,WA1,204.0
