DEPT,SP,GR,CALI,SFL_A,ILM,ILD,LLD,LLS,RHOB,NPHI,DT,well_name,DEPTH
114.0,-5.797,73.2152,,89.2652,9.838,40.5533,,,,,159.3813,SB20,114.0
114.5,-6.23701,71.94,,99.4855,10.0952,28.6784,,,,,160.9671,SB20,114.5
115.0,-6.2612,71.2716,,136.1248,10.7624,23.2805,,,,,162.3222,SB20,115.0
115.5,-5.96681,71.6069,,164.8324,10.85,20.1502,,,,,163.455,SB20,115.5
116.0,-5.62441,72.5626,,197.45081,10.9373,21.9804,,,,,163.9921,SB20,116.0
116.5,-5.62151,73.8432,,254.6096,11.0604,25.5073,,,,,163.24409,SB20,116.5
117.0,-6.05471,74.997,,243.94611,11.2341,26.3212,,,,,162.2981,SB20,117.0
117.5,-6.75641,75.4846,,149.2507,11.3294,26.9191,,,,,161.319,SB20,117.5
118.0,-7.02451,73.4205,,114.1764,11.2559,26.7486,,,,,160.5562,SB20,118.0
118.5,-7.09922,70.591,,100.589,11.2049,26.025,,,,,160.67419,SB20,118.5
119.0,-7.12622,68.4697,,96.437,11.1908,25.5266,,,,,160.73399,SB20,119.0
119.5,-7.28752,67.3591,,104.1235,10.7863,24.3979,,,,,160.73199,SB20,119.5
120.0,-7.66222,66.7743,,133.6655,10.3565,21.9272,,,,,159.9727,SB20,120.0
120.5,-7.98182,66.4308,,141.7998,9.9439,20.0789,,,,,159.013,SB20,120.5
121.0,-7.74722,66.9093,,108.4393,9.7058,19.5675,,,,,157.9328,SB20,121.0
121.5,-7.51273,67.8279,,74.357,9.4877,18.9803,,,,,157.4814,SB20,121.5
122.0,-7.30203,69.4645,,68.715,9.4441,18.6325,,,,,157.30409,SB20,122.0
122.5,-7.20553,71.1756,,65.9384,9.4236,18.4095,,,,,157.31329,SB20,122.5
123.0,-7.36913,72.7759,,61.8927,9.557,18.1189,,,,,157.02969,SB20,123.0
123.5,-7.59763,74.0293,,54.7032,9.5356,17.5423,,,,,156.3463,SB20,123.5
124.0,-7.73963,76.3054,,44.6484,9.4925,17.1036,,,,,155.44321,SB20,124.0
124.5,-8.18484,78.3524,,42.8563,9.1449,16.4746,,,,,154.1937,SB20,124.5
125.0,-9.35844,76.6459,,42.9842,8.9247,15.7208,,,,,153.35339,SB20,125.0
125.5,-10.17574,71.8122,,42.5375,8.7533,14.8107,,,,,152.6046,SB20,125.5
126.0,-10.38444,67.1162,,42.7861,8.4475,14.3524,,,,,152.5027,SB20,126.0
126.5,-9.95464,64.8373,,43.5737,8.1156,13.1739,,,,,152.9646,SB20,126.5
127.0,-9.56764,64.5574,,41.995,7.8408,12.8014,,,,,153.82471,SB20,127.0
127.5,-10.20104,64.1558,,29.7093,7.736,13.0868,,,,,154.50591,SB20,127.5
128.0,-11.39784,63.9937,,23.7215,8.1094,13.3143,,,,,153.6805,SB20,128.0
128.5,-12.67174,64.3067,,21.7148,8.5007,13.4187,,,,,152.2955,SB20,128.5
129.0,-14.85334,64.8682,,28.0566,9.4306,12.716,,,,,151.74831,SB20,129.0
129.5,-16.57625,64.3032,,36.6347,9.2182,12.9908,,,,,150.3606,SB20,129.5
130.0,-17.83375,62.9643,,34.8196,8.9478,13.9168,,,,,148.5948,SB20,130.0
130.5,-18.68325,62.6144,,25.9814,9.2076,14.9841,,,,,146.3196,SB20,130.5
131.0,-18.87375,64.0922,,23.8566,9.6084,16.4122,,,,,142.23779,SB20,131.0
131.5,-19.30645,68.2489,,28.5358,10.4664,17.5705,,,,,139.18359,SB20,131.5
132.0,-20.65985,71.5763,,32.0086,11.0358,17.0023,,,,,137.395,SB20,132.0
132.5,-22.98956,74.8195,,37.9578,11.6831,16.3759,,,,,136.409,SB20,132.5
133.0,-25.23176,75.3731,,44.7391,11.2369,15.1488,,,,,135.0829,SB20,133.0
133.5,-27.47536,74.8316,,50.6015,10.0414,14.3536,,,,,133.5269,SB20,133.5
134.0,-29.71616,73.3719,,35.8119,8.4567,13.555,,,,,132.17931,SB20,134.0
134.5,-31.73866,73.9548,,22.5509,7.7281,12.9264,,,,,131.4467,SB20,134.5
