DEPT,SP,GR,CALI,BITSIZE,LLD,LLS,RHOB,NPHI,DT,MUDWGT,well_name,DEPTH
123.0,,,,12.25,132.57001,48.1784,,,,9.6,TL1,123.0
123.5,,,,12.25,146.61169,48.8806,,,,9.6,TL1,123.5
124.0,,,,12.25,157.147,49.6224,,,,9.6,TL1,124.0
124.5,,,,12.25,161.3817,50.843,,,,9.6,TL1,124.5
125.0,,,,12.25,168.59061,52.4715,,,,9.6,TL1,125.0
125.5,,,,12.25,184.38631,52.2944,,,,9.6,TL1,125.5
126.0,,,,12.25,190.3279,49.8953,,,,9.6,TL1,126.0
126.5,,,,12.25,165.7379,45.5468,,,,9.6,TL1,126.5
127.0,,,,12.25,149.6788,43.2898,,,,9.6,TL1,127.0
127.5,,,,12.25,136.1179,43.1104,,,,9.6,TL1,127.5
128.0,,,,12.25,131.9588,42.5356,,,,9.6,TL1,128.0
128.5,,,,12.25,138.9305,46.3935,,,,9.6,TL1,128.5
129.0,,,,12.25,146.2706,46.9526,,,,9.6,TL1,129.0
129.5,,,,12.25,155.0723,46.3825,,,,9.6,TL1,129.5
130.0,,,,12.25,176.6711,45.299,,,,9.6,TL1,130.0
130.5,,,,12.25,200.87959,46.5153,2.2492,,,9.6,TL1,130.5
131.0,,,14.9953,12.25,198.73779,46.8497,2.2485,,,9.6,TL1,131.0
131.5,,82.2143,15.0273,12.25,186.4856,47.8856,2.2505,,,9.6,TL1,131.5
132.0,,81.6961,15.0465,12.25,165.23351,47.061,2.2701,,,9.6,TL1,132.0
132.5,,80.6117,15.0522,12.25,122.6988,44.057,2.2685,,,9.6,TL1,132.5
133.0,,80.3804,15.0343,12.25,94.8942,40.3722,2.2641,,,9.6,TL1,133.0
133.5,,81.0196,15.2921,12.25,80.5863,36.512,2.2617,,,9.6,TL1,133.5
134.0,,82.593,15.4722,12.25,75.3126,34.4087,2.2635,,,9.6,TL1,134.0
134.5,,84.199,15.2887,12.25,85.1669,36.2488,2.2627,,,9.6,TL1,134.5
