DEPT,SP,GR,CALI,LL8,ILM,ILD,LLD,LLS,RHOB,NPHI,DT,well_name,DEPTH
127.5,-61.6542,51.9987,13.6787,6.4364,6.0209,7.7936,,,,,146.7309,SB19,127.5
128.0,-61.63614,51.6484,13.7308,6.6102,6.0738,7.9083,,,,,147.5396,SB19,128.0
128.5,-61.77078,50.3948,13.8886,6.6461,6.0889,8.0802,,,,,147.17371,SB19,128.5
129.0,-61.63273,48.9615,14.0463,6.5993,6.1041,8.2558,,,,,146.78661,SB19,129.0
129.5,-61.57877,48.2485,14.0051,6.5528,6.1193,8.4352,,,,,146.23849,SB19,129.5
130.0,-61.68222,48.3478,14.2073,6.6503,6.1345,8.1993,,,,,149.075,SB19,130.0
130.5,-61.91766,48.3844,14.6344,6.8159,6.034,7.9542,,,,,151.9115,SB19,130.5
131.0,-62.0248,47.394,15.0871,6.6535,5.6308,7.7164,,,,,151.8148,SB19,131.0
131.5,-61.91904,45.4332,15.389,6.2494,5.2546,7.5235,,,,,149.6357,SB19,131.5
132.0,-61.87649,43.4473,15.5205,5.9142,4.9034,7.4079,,,,,147.4565,SB19,132.0
132.5,-62.18433,43.1663,15.6521,5.9379,4.8398,7.3848,,,,,145.21809,SB19,132.5
133.0,-62.52898,43.1165,15.6691,5.9617,4.971,7.3699,,,,,140.81619,SB19,133.0
133.5,-62.87952,42.9583,15.316,6.066,5.1058,7.355,,,,,137.1489,SB19,133.5
134.0,-63.17717,43.7291,14.7382,6.2509,5.2443,7.3669,,,,,132.2345,SB19,134.0
134.5,-63.74151,45.6555,15.5588,6.4414,5.3865,7.4445,,,,,135.8297,SB19,134.5
135.0,-63.70915,47.9101,15.6866,6.6377,5.5863,7.7811,,,,,140.5592,SB19,135.0
135.5,-63.6174,49.6235,15.6839,6.8401,5.8197,8.1763,,,,,143.6479,SB19,135.5
136.0,-63.32684,51.2499,15.6858,6.9869,6.0628,8.5915,,,,,145.32961,SB19,136.0
136.5,-62.51669,52.8965,15.684,6.9869,6.4043,9.0279,,,,,147.0114,SB19,136.5
137.0,-61.46342,53.0256,15.6303,6.987,6.7842,9.9638,,,,,147.9873,SB19,137.0
137.5,-60.69747,52.5539,15.5059,7.0337,7.1866,10.0969,,,,,147.1252,SB19,137.5
138.0,-60.13772,52.1045,14.9964,7.6168,7.613,10.5479,,,,,148.1597,SB19,138.0
138.5,-59.40626,51.6614,15.3921,8.2966,8.0646,11.2449,,,,,151.49831,SB19,138.5
139.0,-58.17599,51.2183,15.6731,8.832,8.543,11.8612,,,,,154.83681,SB19,139.0
139.5,-55.84745,51.0748,15.674,9.749,9.0497,12.5418,,,,,154.8055,SB19,139.5
140.0,-53.69619,50.7231,15.6604,10.5611,9.1886,12.814,,,,,152.1356,SB19,140.0
140.5,-52.08333,50.2236,15.6486,9.1755,8.6304,13.0922,,,,,140.29379,SB19,140.5
141.0,-52.27738,49.4703,15.6219,8.6501,8.1062,12.2972,,,,,129.2641,SB19,141.0
141.5,-53.56082,49.0495,15.5757,8.2491,7.6138,11.5576,,,,,110.8116,SB19,141.5
