DEPT,SP,GR,CALI,BITSIZE,LL8,ILM,ILD,LLD,LLS,RHOB,NPHI,DT,MUDWGT,well_name,DEPTH
132.5,7.91264,23.7792,,26.0,15.966,7.1878,20.5696,,,,,89.9231,8.8,LI1,132.5
133.0,7.44741,23.312,,26.0,17.0886,8.0532,29.9263,,,,,96.0032,8.8,LI1,133.0
133.5,6.66978,22.9803,,26.0,18.2214,9.1059,58.3726,,,,,110.6461,8.8,LI1,133.5
134.0,6.17624,23.2149,,26.0,19.4292,12.8897,69.8197,,,,,125.289,8.8,LI1,134.0
134.5,5.53621,22.6524,,26.0,20.7171,18.3902,43.0856,,,,,104.8808,8.8,LI1,134.5
135.0,4.88888,22.686,,26.0,22.0903,20.6142,45.2738,,,,,124.6096,8.8,LI1,135.0
135.5,3.84304,22.6295,,26.0,21.8919,16.037,42.2348,,,,,119.3468,8.8,LI1,135.5
136.0,2.55102,21.5936,,26.0,21.2584,14.4811,35.6049,,,,,121.7072,8.8,LI1,136.0
136.5,1.01459,21.818,,26.0,20.6433,13.1271,31.0993,,,,,145.3571,8.8,LI1,136.5
137.0,-0.13745,21.9377,,26.0,20.0757,13.4396,29.5097,,,,,155.47861,8.8,LI1,137.0
137.5,0.06642,22.2403,,26.0,19.8126,12.7311,32.5462,,,,,166.4209,8.8,LI1,137.5
138.0,3.35089,22.8388,,26.0,19.5529,12.513,33.6185,,,,,144.3103,8.8,LI1,138.0
138.5,4.40256,23.9208,,26.0,19.2967,13.2186,28.1107,,,,,146.4752,8.8,LI1,138.5
139.0,3.92133,25.2601,,26.0,19.0438,13.0399,25.8593,,,,,140.02361,8.8,LI1,139.0
139.5,3.4402,26.384,,26.0,18.7687,12.5668,24.272,,,,,150.6523,8.8,LI1,139.5
140.0,2.92297,26.9449,,26.0,18.3299,13.5368,24.7164,,,,,141.36839,8.8,LI1,140.0
140.5,2.42823,27.4474,,26.0,17.9053,13.6334,25.169,,,,,142.23441,8.8,LI1,140.5
141.0,2.02471,27.4254,,26.0,17.3907,12.4705,25.0082,,,,,140.0473,8.8,LI1,141.0
141.5,1.61977,27.6664,,26.0,16.8064,13.3734,23.4114,,,,,141.8969,8.8,LI1,141.5
142.0,1.08005,28.7482,,26.0,16.345,12.4994,22.3127,,,,,133.18559,8.8,LI1,142.0
142.5,0.6558,29.9511,,26.0,16.017,12.7179,21.2656,,,,,111.4471,8.8,LI1,142.5
143.0,0.29137,31.7591,,26.0,15.3057,11.2426,19.7384,,,,,108.8177,8.8,LI1,143.0
143.5,-0.10145,33.4901,,26.0,14.9143,11.1473,18.465,,,,,105.4695,8.8,LI1,143.5
144.0,-0.25899,35.3532,,26.0,14.2571,10.9495,17.3687,,,,,109.6745,8.8,LI1,144.0
144.5,-0.14122,37.0954,,26.0,13.5882,9.9436,16.3375,,,,,111.3645,8.8,LI1,144.5
145.0,-0.08324,38.3572,,26.0,12.9508,9.0301,15.2244,,,,,109.857,8.8,LI1,145.0
145.5,-0.01278,39.2167,,26.0,12.3433,9.4154,14.0609,,,,,103.6476,8.8,LI1,145.5
146.0,0.0886,39.9633,,26.0,11.8026,9.1928,13.7691,,,,,105.9602,8.8,LI1,146.0
146.5,0.15946,40.1608,,26.0,11.3157,8.6325,14.0945,,,,,107.7016,8.8,LI1,146.5
147.0,0.18272,39.8085,,26.0,10.8488,8.1672,13.5104,,,,,112.7734,8.8,LI1,147.0
147.5,0.2373,40.842,,26.0,10.4013,7.8281,12.9504,,,,,114.9186,8.8,LI1,147.5
148.0,0.29197,40.325,,26.0,10.0487,7.9742,12.5731,,,,,116.974,8.8,LI1,148.0
148.5,0.19654,39.8046,,26.0,9.8582,7.9859,12.3643,,,,,114.4928,8.8,LI1,148.5
149.0,0.0,39.6354,,26.0,9.6634,7.8324,11.9561,,,,,110.2146,8.8,LI1,149.0
149.5,-0.15323,39.8385,,26.0,9.4724,7.7284,11.7091,,,,,107.6604,8.8,LI1,149.5
150.0,-0.26206,40.7752,,26.0,9.2852,7.6258,11.7935,,,,,103.8197,8.8,LI1,150.0
150.5,-0.51139,41.8093,,26.0,9.1017,7.5245,11.8398,,,,,105.2431,8.8,LI1,150.5
151.0,-0.70282,42.9299,,26.0,8.9437,7.4246,11.8862,,,,,106.5952,8.8,LI1,151.0
151.5,-0.83576,43.8102,,26.0,8.8096,7.326,11.7693,,,,,107.3413,8.8,LI1,151.5
152.0,-1.03469,44.3436,,26.0,8.6776,7.2262,11.3476,,,,,110.9364,8.8,LI1,152.0
152.5,-1.31911,44.4796,,26.0,8.5145,7.0908,10.9411,,,,,112.3741,8.8,LI1,152.5
153.0,-1.69235,43.9104,,26.0,8.3358,6.9607,10.5492,,,,,113.2804,8.8,LI1,153.0
153.5,-2.31409,42.565,,26.0,8.2026,6.849,10.1712,,,,,114.434,8.8,LI1,153.5
154.0,-2.71611,41.0374,,26.0,8.2052,6.7392,10.059,,,,,116.8121,8.8,LI1,154.0
154.5,-3.77254,39.5373,,26.0,8.2718,6.7073,10.0852,,,,,117.8188,8.8,LI1,154.5
155.0,-4.34948,38.2599,,26.0,8.6484,6.7399,10.1115,,,,,116.1818,8.8,LI1,155.0
155.5,-4.89291,37.8874,,26.0,9.0421,6.8787,10.1378,,,,,108.9768,8.8,LI1,155.5
156.0,-5.87955,37.4445,,26.0,9.2241,7.1451,10.4947,,,,,106.3329,8.8,LI1,156.0
156.5,-7.15058,37.0563,,26.0,9.3002,7.4228,10.9416,,,,,100.9056,8.8,LI1,156.5
157.0,-7.9332,36.1368,,26.0,9.1853,7.7395,11.5569,,,,,97.7627,8.8,LI1,157.0
157.5,-8.63323,36.6201,,26.0,9.1727,8.0698,12.4996,,,,,106.3119,8.8,LI1,157.5
158.0,-9.68077,38.605,,26.0,9.793,8.4185,13.5193,,,,,106.745,8.8,LI1,158.0
158.5,-11.04089,42.563,,26.0,10.4551,8.7866,14.1441,,,,,104.7613,8.8,LI1,158.5
159.0,-12.17592,46.5222,,26.0,10.7268,9.1708,14.5633,,,,,106.155,8.8,LI1,159.0
159.5,-13.25436,49.6368,,26.0,10.8322,9.3414,14.9949,,,,,100.067,8.8,LI1,159.5
160.0,-14.71119,50.7543,,26.0,10.9267,9.3798,15.4833,,,,,108.316,8.8,LI1,160.0
160.5,-15.61943,51.4415,,26.0,10.9997,9.4986,16.1331,,,,,112.3741,8.8,LI1,160.5
161.0,-16.36055,50.8279,,26.0,11.0733,9.7024,16.8102,,,,,117.9235,8.8,LI1,161.0
161.5,-16.87049,47.7805,,26.0,11.226,10.1825,17.5157,,,,,118.8896,8.8,LI1,161.5
162.0,-17.47382,45.1942,,26.0,11.3818,10.7654,18.2188,,,,,118.1512,8.8,LI1,162.0
162.5,-18.16314,43.5717,,26.0,11.8519,11.2945,18.827,,,,,114.3886,8.8,LI1,162.5
163.0,-18.65127,41.3136,,26.0,12.4326,11.8495,19.7629,,,,,105.3217,8.8,LI1,163.0
163.5,-19.48232,40.1377,,26.0,12.7501,12.4319,21.8658,,,,,98.1728,8.8,LI1,163.5
164.0,-21.01745,39.0451,,26.0,13.3831,13.0429,23.453,,,,,93.7867,8.8,LI1,164.0
164.5,-22.15807,38.3883,,26.0,13.7171,13.6514,25.1555,,,,,90.1921,8.8,LI1,164.5
165.0,-23.09361,37.1805,,26.0,14.0551,14.0784,26.9815,,,,,88.964,8.8,LI1,165.0
165.5,-23.49554,35.7005,,26.0,14.4013,14.5188,27.678,,,,,89.2867,8.8,LI1,165.5
166.0,-23.56577,36.7786,,26.0,14.7562,14.973,28.1171,,,,,87.713,8.8,LI1,166.0
166.5,-23.69849,38.2304,,26.0,15.1197,15.4414,28.5447,,,,,85.4111,8.8,LI1,166.5
167.0,-23.88363,41.4171,,26.0,15.4922,15.8372,28.9498,,,,,85.9091,8.8,LI1,167.0
167.5,-23.98916,44.1831,,26.0,15.7184,15.8291,29.3606,,,,,77.9269,8.8,LI1,167.5
168.0,-24.2907,47.4572,,26.0,15.7129,15.821,29.797,,,,,81.0529,8.8,LI1,168.0
168.5,-24.66492,50.1739,,26.0,15.7075,15.8129,30.2504,,,,,81.6777,8.8,LI1,168.5
169.0,-25.14115,52.3373,,26.0,15.702,15.8048,30.8109,,,,,82.209,8.8,LI1,169.0
169.5,-25.55769,53.1518,,26.0,15.6965,15.4929,29.5666,,,,,86.3465,8.8,LI1,169.5
170.0,-24.97603,53.2897,,26.0,15.691,14.8638,28.2167,,,,,89.5339,8.8,LI1,170.0
170.5,-24.51155,52.8028,,26.0,14.8491,14.3483,27.5328,,,,,95.3493,8.8,LI1,170.5
171.0,-24.40758,51.5057,,26.0,14.0244,13.8637,25.5427,,,,,101.6474,8.8,LI1,171.0
171.5,-24.40491,49.2901,,26.0,13.3643,13.3955,23.6672,,,,,90.8232,8.8,LI1,171.5
172.0,-24.50615,45.2518,,26.0,12.9638,12.9431,21.2533,,,,,96.9472,8.8,LI1,172.0
172.5,-24.27197,42.2524,,26.0,12.6099,12.506,20.1969,,,,,103.0313,8.8,LI1,172.5
173.0,-23.78441,39.0633,,26.0,12.0471,12.0836,19.2264,,,,,116.6213,8.8,LI1,173.0
173.5,-23.34833,36.4278,,26.0,11.8341,11.6673,18.3025,,,,,124.121,8.8,LI1,173.5
174.0,-22.49776,34.2173,,26.0,11.6249,11.2626,18.1282,,,,,124.6014,8.8,LI1,174.0
174.5,-21.72331,32.0237,,26.0,11.4193,10.872,18.3146,,,,,113.988,8.8,LI1,174.5
175.0,-21.31264,29.8353,,26.0,11.7004,11.1809,19.5829,,,,,97.5756,8.8,LI1,175.0
175.5,-20.96326,28.7101,,26.0,12.1017,11.7217,19.9464,,,,,84.4723,8.8,LI1,175.5
176.0,-20.74799,27.5841,,26.0,12.4766,12.2887,20.5738,,,,,82.8309,8.8,LI1,176.0
176.5,-20.79702,26.3793,,26.0,12.7873,12.8287,24.3733,,,,,83.3471,8.8,LI1,176.5
177.0,-20.53627,25.4835,,26.0,13.2476,12.8064,28.0229,,,,,84.1426,8.8,LI1,177.0
177.5,-20.5127,24.7904,,26.0,13.5107,14.2486,31.567,,,,,80.8417,8.8,LI1,177.5
178.0,-20.21793,24.4618,,26.0,13.7683,16.2778,36.6229,,,,,87.9678,8.8,LI1,178.0
178.5,-19.58976,24.1508,,26.0,14.0309,17.5074,39.8421,,,,,90.3708,8.8,LI1,178.5
179.0,-19.13569,24.3582,,26.0,14.2914,18.066,39.6872,,,,,93.8433,8.8,LI1,179.0
179.5,-19.02762,24.9032,,26.0,14.7747,19.1549,39.5328,,,,,74.9744,8.8,LI1,179.5
180.0,-18.28584,25.1437,,26.0,15.2376,19.6281,39.379,,,,,71.1424,8.8,LI1,180.0
180.5,-17.36428,25.3005,,26.0,15.2856,19.9316,39.8384,,,,,78.5936,8.8,LI1,180.5
181.0,-15.94511,26.0333,,26.0,14.8306,19.5842,40.4123,,,,,103.6112,8.8,LI1,181.0
181.5,-15.07174,26.5181,,26.0,14.149,19.1808,40.9944,,,,,106.9211,8.8,LI1,181.5
182.0,-14.13458,26.9753,,26.0,14.1488,18.5924,41.585,,,,,95.3474,8.8,LI1,182.0
182.5,-12.8625,27.3197,,26.0,14.4607,17.9064,42.184,,,,,77.4827,8.8,LI1,182.5
183.0,-12.17064,28.6887,,26.0,14.7229,17.2457,41.5926,,,,,72.3935,8.8,LI1,183.0
183.5,-11.32617,29.511,,26.0,14.4193,16.7031,39.1794,,,,,92.0302,8.8,LI1,183.5
184.0,-9.1942,30.1375,,26.0,14.122,16.9827,36.9063,,,,,107.3284,8.8,LI1,184.0
184.5,-8.44703,30.764,,26.0,13.8308,16.9127,34.1084,,,,,87.5248,8.8,LI1,184.5
185.0,-8.26646,31.3905,,26.0,13.6026,16.3799,30.5517,,,,,100.377,8.8,LI1,185.0
185.5,-7.66369,32.0484,,26.0,13.0593,14.8196,27.7609,,,,,90.71,8.8,LI1,185.5
186.0,-6.45793,32.9843,,26.0,12.6204,14.9962,26.0886,,,,,96.3511,8.8,LI1,186.0
186.5,-4.86516,33.9432,,26.0,12.1963,13.0671,23.7047,,,,,105.1009,8.8,LI1,186.5
187.0,-3.42879,34.6702,,26.0,11.7865,12.2511,21.6278,,,,,107.5455,8.8,LI1,187.0
187.5,-1.97342,35.4437,,26.0,11.3616,11.486,19.7329,,,,,96.6134,8.8,LI1,187.5
