DEPT,SP,GR,CALI,BITSIZE,MSFL,LLD,LLS,RHOB,NPHI,DT,MUDWGT,well_name,DEPTH
142.5,-12.6045,79.3856,15.6057,12.25,2.8065,10.35,6.2237,2.184,59.5088,147.80431,8.9,WA2,142.5
143.0,-12.43272,79.2417,15.4078,12.25,2.8063,10.6287,6.3279,2.1893,58.8116,146.8419,8.9,WA2,143.0
143.5,-12.26095,79.0408,15.4344,12.25,2.7154,10.5842,6.4664,2.1976,59.1709,145.655,8.9,WA2,143.5
144.0,-12.08917,76.8469,15.4211,12.25,2.3497,10.0253,6.3357,2.2036,60.5428,145.22839,8.9,WA2,144.0
144.5,-11.91739,75.6845,15.401,12.25,2.078,9.3909,6.2076,2.21,61.3175,145.1842,8.9,WA2,144.5
145.0,-11.74562,75.4603,15.2852,12.25,2.0719,8.7551,6.0821,2.2185,61.2894,145.6832,8.9,WA2,145.0
145.5,-11.57384,75.8255,15.0917,12.25,2.214,8.2791,6.0787,2.2232,61.2614,145.7932,8.9,WA2,145.5
146.0,-11.40206,76.1238,15.1651,12.25,2.3775,7.8736,6.154,2.2408,59.9593,145.15739,8.9,WA2,146.0
146.5,-11.23029,77.0502,15.2386,12.25,2.4343,7.4879,6.3299,2.2395,58.6233,144.7435,8.9,WA2,146.5
147.0,-11.05841,77.3252,15.1478,12.25,2.4099,7.0926,6.5076,2.2356,57.7771,143.8839,8.9,WA2,147.0
147.5,-10.88664,76.9453,14.991,12.25,2.4402,6.7553,6.6252,2.2403,57.1342,143.9234,8.9,WA2,147.5
148.0,-10.71486,76.6144,14.9441,12.25,2.4564,7.0971,6.7771,2.2498,56.6926,144.27341,8.9,WA2,148.0
148.5,-10.54308,76.541,15.0138,12.25,2.4326,7.2772,7.0389,2.2485,57.0428,144.3459,8.9,WA2,148.5
149.0,-10.37131,75.4965,15.0196,12.25,2.4442,7.4154,7.2247,2.2426,57.5592,143.8588,8.9,WA2,149.0
149.5,-10.19953,74.9311,14.9882,12.25,2.4658,7.6114,7.4032,2.2296,58.5219,143.007,8.9,WA2,149.5
150.0,-10.02775,75.5723,14.7197,12.25,2.336,8.443,7.599,2.2174,59.2324,141.6687,8.9,WA2,150.0
150.5,-9.85598,76.9065,14.8175,12.25,2.2264,9.0803,7.8257,2.2721,59.3175,141.0435,8.9,WA2,150.5
151.0,-9.6842,78.272,14.8072,12.25,2.1898,9.6045,7.9626,2.2851,59.2865,140.7888,8.9,WA2,151.0
151.5,-9.51242,79.5931,14.7715,12.25,2.3542,10.2993,8.0563,2.2877,58.9367,141.9406,8.9,WA2,151.5
