DEPT,SP,GR,CALI,BITSIZE,LL8,ILM,ILD,RHOB,NPHI,DT,MUDWGT,well_name,DEPTH
426.5,,,,17.5,,,,,,,9.7,KG1,426.5
427.0,,,,17.5,,,,,,,9.7,KG1,427.0
427.5,,,,17.5,,,,,,,9.7,KG1,427.5
428.0,,,,17.5,,,,,,,9.7,KG1,428.0
428.5,,,,17.5,,,,,,,9.7,KG1,428.5
429.0,,,,17.5,,,,,,,9.7,KG1,429.0
429.5,,,,17.5,,,,,,,9.7,KG1,429.5
430.0,,,,17.5,,,,,,,9.7,KG1,430.0
430.5,,,,17.5,,,,,,,9.7,KG1,430.5
431.0,,,,17.5,,,,,,,9.7,KG1,431.0
431.5,,,,17.5,,,,,,,9.7,KG1,431.5
432.0,,,,17.5,,,,,,,9.7,KG1,432.0
432.5,,,,17.5,,,,,,,9.7,KG1,432.5
433.0,,,,17.5,,,,,,,9.7,KG1,433.0
433.5,,,,17.5,,,,,,,9.7,KG1,433.5
434.0,,,,17.5,,,,,,,9.7,KG1,434.0
434.5,,,,17.5,,,,,,,9.7,KG1,434.5
435.0,,,,17.5,,,,,,,9.7,KG1,435.0
435.5,,,,17.5,,,,,,,9.7,KG1,435.5
436.0,,,,17.5,,,,,,,9.7,KG1,436.0
436.5,,,,17.5,,,,,,,9.7,KG1,436.5
437.0,,,,17.5,,,,,,,9.7,KG1,437.0
437.5,,,,17.5,,,,,,,9.7,KG1,437.5
438.0,,,,17.5,,,,,,,9.7,KG1,438.0
438.5,,,,17.5,,,,,,,9.7,KG1,438.5
439.0,,,,17.5,,,,,,,9.7,KG1,439.0
439.5,,,,17.5,,,,,,,9.7,KG1,439.5
440.0,,,,17.5,,,,,,,9.7,KG1,440.0
440.5,,,,17.5,,,,,,,9.7,KG1,440.5
441.0,,,,17.5,,,,,,,9.7,KG1,441.0
441.5,,,,17.5,,,,,,,9.7,KG1,441.5
442.0,,,,17.5,,,,,,,9.7,KG1,442.0
442.5,,,,17.5,,,,,,,9.7,KG1,442.5
443.0,,,,17.5,,,,,,,9.7,KG1,443.0
443.5,,,,17.5,,,,,,,9.7,KG1,443.5
444.0,,,,17.5,,,,,,,9.7,KG1,444.0
444.5,,,,17.5,,,,,,,9.7,KG1,444.5
445.0,,,,17.5,,,,,,,9.7,KG1,445.0
445.5,,,,17.5,,,,,,,9.7,KG1,445.5
446.0,,,,17.5,,,,,,,9.7,KG1,446.0
446.5,,,,17.5,,,,,,,9.7,KG1,446.5
447.0,,,,17.5,,,,,,,9.7,KG1,447.0
447.5,,,,17.5,,,,,,,9.7,KG1,447.5
448.0,,,,17.5,,,,,,,9.7,KG1,448.0
448.5,,,,17.5,,,,,,,9.7,KG1,448.5
449.0,,,,17.5,,,,,,,9.7,KG1,449.0
449.5,,,,17.5,,,,,,,9.7,KG1,449.5
450.0,,,,17.5,,,,,,,9.7,KG1,450.0
450.5,,,,17.5,,,,,,,9.7,KG1,450.5
451.0,,,,17.5,,,,,,,9.7,KG1,451.0
451.5,,,,17.5,,,,,,,9.7,KG1,451.5
452.0,,,,17.5,,,,,,,9.7,KG1,452.0
452.5,,,,17.5,,,,,,,9.7,KG1,452.5
453.0,,,,17.5,,,,,,,9.7,KG1,453.0
453.5,,,,17.5,,,,,,,9.7,KG1,453.5
454.0,,,,17.5,,,,,,,9.7,KG1,454.0
454.5,,,,17.5,,,,,,,9.7,KG1,454.5
455.0,,,,17.5,,,,,,,9.7,KG1,455.0
455.5,,,,17.5,,,,,,,9.7,KG1,455.5
456.0,,,,17.5,,,,,,,9.7,KG1,456.0
456.5,,,,17.5,,,,,,,9.7,KG1,456.5
457.0,,,,17.5,,,,,,,9.7,KG1,457.0
457.5,,,,17.5,,,,,,,9.7,KG1,457.5
458.0,,,,17.5,,,,,,,9.7,KG1,458.0
458.5,,,,17.5,,,,,,,9.7,KG1,458.5
459.0,,,,17.5,,,,,,,9.7,KG1,459.0
459.5,,,,17.5,,,,,,,9.7,KG1,459.5
460.0,,,,17.5,,,,,,,9.7,KG1,460.0
460.5,,,,17.5,,,,,,,9.7,KG1,460.5
461.0,,,,17.5,,,,,,,9.7,KG1,461.0
461.5,,,,17.5,,,,,,,9.7,KG1,461.5
462.0,,,,17.5,,,,,,,9.7,KG1,462.0
462.5,,,,17.5,,,,,,,9.7,KG1,462.5
463.0,,,,17.5,,,,,,,9.7,KG1,463.0
463.5,,,,17.5,,,,,,,9.7,KG1,463.5
464.0,,,,17.5,,,,,,,9.7,KG1,464.0
464.5,,,,17.5,,,,,,,9.7,KG1,464.5
465.0,,,,17.5,,,,,,,9.7,KG1,465.0
465.5,,,,17.5,,,,,,,9.7,KG1,465.5
466.0,,,,17.5,,,,,,,9.7,KG1,466.0
466.5,,,,17.5,,,,,,,9.7,KG1,466.5
467.0,,,,17.5,,,,,,,9.7,KG1,467.0
467.5,,,,17.5,,,,,,,9.7,KG1,467.5
468.0,,,,17.5,,,,,,,9.7,KG1,468.0
468.5,,,,17.5,,,,,,,9.7,KG1,468.5
469.0,,,,17.5,,,,,,,9.7,KG1,469.0
469.5,,,,17.5,,,,,,,9.7,KG1,469.5
470.0,,,,17.5,,,,,,,9.7,KG1,470.0
470.5,,,,17.5,,,,,,,9.7,KG1,470.5
471.0,,,,17.5,,,,,,,9.7,KG1,471.0
471.5,,,,17.5,,,,,,,9.7,KG1,471.5
472.0,,,,17.5,,,,,,,9.7,KG1,472.0
472.5,,,,17.5,,,,,,,9.7,KG1,472.5
473.0,,,,17.5,,,,,,,9.7,KG1,473.0
473.5,,,,17.5,,,,,,,9.7,KG1,473.5
474.0,,,,17.5,,,,,,,9.7,KG1,474.0
474.5,,,,17.5,,,,,,,9.7,KG1,474.5
475.0,,,,17.5,,,,,,,9.7,KG1,475.0
475.5,,,,17.5,,,,,,,9.7,KG1,475.5
476.0,,,,17.5,,,,,,,9.7,KG1,476.0
476.5,,,,17.5,,,,,,,9.7,KG1,476.5
477.0,,,,17.5,,,,,,,9.7,KG1,477.0
477.5,,,,17.5,,,,,,,9.7,KG1,477.5
478.0,,,,17.5,,,,,,,9.7,KG1,478.0
478.5,,,,17.5,,,,,,,9.7,KG1,478.5
479.0,,,,17.5,,,,,,,9.7,KG1,479.0
479.5,,,,17.5,,,,,,,9.7,KG1,479.5
480.0,,,,17.5,,,,,,,9.7,KG1,480.0
480.5,,,,17.5,,,,,,,9.7,KG1,480.5
481.0,,,,17.5,,,,,,,9.7,KG1,481.0
481.5,,,,17.5,,,,,,,9.7,KG1,481.5
482.0,,,,17.5,,,,,,,9.7,KG1,482.0
482.5,,,,17.5,,,,,,,9.7,KG1,482.5
483.0,,,,17.5,,,,,,,9.7,KG1,483.0
483.5,,,,17.5,,,,,,,9.7,KG1,483.5
484.0,,,,17.5,,,,,,,9.7,KG1,484.0
484.5,,,,17.5,,,,,,,9.7,KG1,484.5
485.0,,,,17.5,,,,,,,9.7,KG1,485.0
485.5,,,,17.5,,,,,,,9.7,KG1,485.5
486.0,,,,17.5,,,,,,,9.7,KG1,486.0
486.5,,,,17.5,,,,,,,9.7,KG1,486.5
487.0,,,,17.5,,,,,,,9.7,KG1,487.0
487.5,,,,17.5,,,,,,,9.7,KG1,487.5
488.0,,,,17.5,,,,,,,9.7,KG1,488.0
488.5,,,,17.5,,,,,,,9.7,KG1,488.5
489.0,,,,17.5,,,,,,,9.7,KG1,489.0
489.5,,,,17.5,,,,,,,9.7,KG1,489.5
490.0,,,,17.5,,,,,,,9.7,KG1,490.0
490.5,,,,17.5,,,,,,,9.7,KG1,490.5
491.0,,,,17.5,,,,,,,9.7,KG1,491.0
491.5,,,,17.5,,,,,,,9.7,KG1,491.5
492.0,,,,17.5,,,,,,,9.7,KG1,492.0
492.5,,,,17.5,,,,,,,9.7,KG1,492.5
493.0,7.4652,,,17.5,,,,,,,9.7,KG1,493.0
493.5,0.0,,,17.5,,,,,,,9.7,KG1,493.5
494.0,-6.2771,,,17.5,,,,,,,9.7,KG1,494.0
494.5,-9.0769,,,17.5,,,,,,,9.7,KG1,494.5
495.0,-10.7749,,,17.5,,,,,,,9.7,KG1,495.0
495.5,-12.089,,,17.5,,,,,,,9.7,KG1,495.5
496.0,-13.084,,,17.5,,,,,,,9.7,KG1,496.0
496.5,-13.9898,,,17.5,,,,,,,9.7,KG1,496.5
497.0,-14.6091,,,17.5,,3.8804,,,,,9.7,KG1,497.0
497.5,-14.6963,,,17.5,,4.4871,20.8757,,,,9.7,KG1,497.5
498.0,-14.0653,,,17.5,9.9547,5.1887,29.2771,,,,9.7,KG1,498.0
498.5,-13.0353,,,17.5,10.4954,6.1877,14.1875,,,,9.7,KG1,498.5
499.0,-11.336,,,17.5,10.213,6.1129,9.6716,,,,9.7,KG1,499.0
499.5,-9.5269,,,17.5,9.6371,5.9667,8.9948,,,,9.7,KG1,499.5
500.0,-6.4109,,,17.5,9.0938,6.0982,8.3654,,,110.1778,9.7,KG1,500.0
500.5,-2.8271,,,17.5,8.9972,6.275,8.8446,,,112.5506,9.7,KG1,500.5
501.0,-0.709,,,17.5,9.2337,6.3966,10.1755,,,113.2093,9.7,KG1,501.0
501.5,0.5821,,,17.5,9.4764,6.4391,11.8647,,,114.819,9.7,KG1,501.5
502.0,1.0098,,,17.5,9.48,6.275,13.4055,,,117.1186,9.7,KG1,502.0
502.5,0.9906,,,17.5,9.308,5.9705,12.9914,,,119.5578,9.7,KG1,502.5
503.0,1.2069,,,17.5,9.1392,5.933,12.4511,,,122.4529,9.7,KG1,503.0
503.5,1.4778,,,17.5,8.9734,5.9591,11.7205,,,124.2225,9.7,KG1,503.5
504.0,1.567,,,17.5,8.8106,6.006,11.2595,,,123.7115,9.7,KG1,504.0
504.5,1.2602,,,17.5,8.6508,6.0352,11.0385,,,122.6114,9.7,KG1,504.5
505.0,0.6922,,,17.5,8.5895,6.0689,10.9432,,,119.9259,9.7,KG1,505.0
505.5,0.3544,,,17.5,8.5448,6.1416,10.8649,,,117.4869,9.7,KG1,505.5
506.0,1.3164,,,17.5,8.5005,6.3583,10.7973,,,115.3443,9.7,KG1,506.0
506.5,3.4489,,,17.5,8.4563,6.5033,10.4045,,,115.0043,9.7,KG1,506.5
507.0,6.5772,,,17.5,8.4124,6.6452,9.9995,,,116.0181,9.7,KG1,507.0
507.5,9.0592,43.8459,,17.5,8.3687,6.5632,9.616,,,116.5072,9.7,KG1,507.5
508.0,10.8739,44.2943,,17.5,8.3253,6.413,9.3147,,,118.1813,9.7,KG1,508.0
508.5,11.9874,44.7836,,17.5,8.236,6.2661,9.023,,,122.5768,9.7,KG1,508.5
509.0,12.7986,45.3965,,17.5,8.1333,6.0634,8.7403,,,129.6223,9.7,KG1,509.0
509.5,13.1889,46.5126,,17.5,7.9556,5.8501,8.4665,,,157.6563,9.7,KG1,509.5
510.0,13.2084,48.5125,,17.5,7.7426,5.697,8.5331,,,168.46671,9.7,KG1,510.0
510.5,13.0996,50.6262,,17.5,7.6106,5.6734,8.6699,,,178.4025,9.7,KG1,510.5
511.0,12.6577,51.5237,,17.5,7.6009,5.89,9.2927,,,182.5775,9.7,KG1,511.0
511.5,12.099,52.6144,,17.5,7.8497,6.6619,10.0019,,,182.4106,9.7,KG1,511.5
512.0,11.6185,53.6879,,17.5,10.6201,7.5678,10.7652,,,190.77859,9.7,KG1,512.0
512.5,11.2836,54.5783,,17.5,14.4533,8.597,11.5868,,,173.3761,9.3,KG1,512.5
513.0,10.9212,54.8514,,17.5,15.0607,8.7652,12.4711,,,170.4472,9.3,KG1,513.0
513.5,10.5042,53.7418,,17.5,13.7412,8.636,13.4229,,,169.57201,9.3,KG1,513.5
514.0,10.0661,51.6297,,17.5,11.0781,8.5087,14.4473,,,187.3606,9.3,KG1,514.0
514.5,9.7654,48.7749,,17.5,10.8782,8.1123,14.8019,,,191.6795,9.3,KG1,514.5
515.0,9.3709,46.7361,,17.5,11.0815,7.6996,13.7238,,,188.3857,9.3,KG1,515.0
515.5,8.6693,46.0605,,17.5,11.3413,7.2968,12.5293,,,186.98289,9.3,KG1,515.5
516.0,7.8212,47.0167,,17.5,11.0924,6.9093,11.4388,,,180.7621,9.3,KG1,516.0
516.5,6.9622,48.574,,17.5,10.5029,6.5423,10.4432,,,171.84399,9.3,KG1,516.5
517.0,6.1964,50.5762,,17.5,9.9215,6.1949,9.5342,,,164.5101,9.3,KG1,517.0
517.5,5.4801,52.075,,17.5,9.2137,5.8659,8.7044,,,159.02969,9.3,KG1,517.5
518.0,4.7,53.3034,,17.5,8.5564,5.5544,7.9468,,,140.7706,9.3,KG1,518.0
518.5,3.9588,53.7591,,17.5,8.0469,5.2294,7.2702,,,138.2843,9.3,KG1,518.5
519.0,3.3968,54.0294,,17.5,7.6172,4.9205,7.0839,,,135.7981,9.3,KG1,519.0
519.5,2.8886,54.5048,,17.5,7.2104,4.7765,6.9025,,,132.0527,9.3,KG1,519.5
520.0,2.3911,55.3569,,17.5,7.2306,4.9042,6.7257,,,131.4577,9.3,KG1,520.0
520.5,2.0155,56.2591,,17.5,7.4851,5.2557,6.922,,,130.9413,9.3,KG1,520.5
521.0,1.8406,56.6297,,17.5,8.1805,5.7884,7.4762,,,129.8604,9.3,KG1,521.0
521.5,1.707,56.6192,,17.5,8.9405,6.3751,8.3442,,,124.1768,9.3,KG1,521.5
522.0,1.4846,56.2531,,17.5,9.9184,7.0213,9.3766,,,130.06239,9.3,KG1,522.0
522.5,1.1615,55.8364,,17.5,10.7328,7.7329,10.598,,,138.78909,9.3,KG1,522.5
523.0,0.7889,55.4606,,17.5,10.6498,8.4652,11.9786,,,146.7852,9.3,KG1,523.0
523.5,0.6372,54.8418,,17.5,10.5064,8.8133,13.539,,,148.3873,9.3,KG1,523.5
524.0,0.7092,53.1738,,17.5,10.2763,9.1758,15.3027,,,143.4416,9.3,KG1,524.0
524.5,0.5919,51.1488,,17.5,10.1676,9.5551,16.5921,,,131.61591,9.3,KG1,524.5
525.0,0.0,50.4177,,17.5,10.2815,9.9768,16.7854,,,125.1026,9.3,KG1,525.0
525.5,-0.34871,50.1996,,17.5,10.5911,10.4128,16.8696,,,117.8283,9.3,KG1,525.5
526.0,-0.82811,50.4072,,17.5,10.9101,10.8037,17.118,,,116.2649,9.3,KG1,526.0
526.5,-1.19332,50.75,,17.5,11.2386,11.2092,17.854,,,117.764,9.3,KG1,526.5
527.0,-1.33532,50.4667,,17.5,11.5771,11.6091,18.5196,,,119.9643,9.3,KG1,527.0
527.5,-1.44553,49.9212,,17.5,11.9258,11.8863,19.3268,,,122.307,9.3,KG1,527.5
528.0,-1.51573,49.3758,,17.5,12.2755,12.004,19.5861,,,122.5085,9.3,KG1,528.0
528.5,-1.56464,48.8303,,17.5,12.1407,11.9587,18.8533,,,122.7348,9.3,KG1,528.5
529.0,-1.53855,48.4768,,17.5,11.8728,11.5375,16.8375,,,122.6492,9.3,KG1,529.0
529.5,-1.53315,48.1411,,17.5,10.5033,10.2904,14.7861,,,121.832,9.3,KG1,529.5
530.0,-1.64016,47.8195,,17.5,9.2918,9.0575,12.8344,,,116.0096,9.3,KG1,530.0
530.5,-1.93586,47.6798,,17.5,8.22,7.9892,11.5425,,,103.3987,9.3,KG1,530.5
531.0,-2.52467,47.54,,17.5,7.916,7.2659,10.3807,,,100.8027,9.3,KG1,531.0
531.5,-3.14068,47.5894,,17.5,7.7224,6.6082,9.3359,,,107.2832,9.3,KG1,531.5
532.0,-3.39098,48.3775,,17.5,7.5335,6.01,8.3962,,,115.2647,9.3,KG1,532.0
532.5,-3.35399,49.9763,,17.5,7.3492,5.5799,7.5511,,,118.3754,9.3,KG1,532.5
533.0,-3.19389,51.283,,17.5,7.2725,5.4071,7.3979,,,119.8535,9.3,KG1,533.0
533.5,-3.0699,52.3655,,17.5,7.2184,5.3873,7.2701,,,123.6491,9.3,KG1,533.5
534.0,-3.0099,52.6568,,17.5,7.2688,5.3676,7.1973,,,130.8501,9.3,KG1,534.0
534.5,-2.97951,52.7632,,17.5,7.3642,5.3747,7.2623,,,125.099,9.3,KG1,534.5
535.0,-2.93122,53.1258,,17.5,7.5481,5.4624,7.4142,,,115.9218,9.3,KG1,535.0
535.5,-2.88472,53.6192,,17.5,7.8639,5.633,7.7902,,,120.0074,9.3,KG1,535.5
536.0,-2.63663,53.5202,,17.5,8.389,6.0562,8.1854,,,118.9326,9.3,KG1,536.0
536.5,-2.26443,53.4424,,17.5,8.8321,6.7093,8.8882,,,121.0563,9.3,KG1,536.5
537.0,-2.12394,53.4649,,17.5,9.6557,7.4327,9.6648,,,123.6484,9.3,KG1,537.0
537.5,-2.18405,53.1584,,17.5,10.6192,8.2342,10.6309,,,130.6188,9.3,KG1,537.5
538.0,-2.41925,52.5558,,17.5,11.6788,9.1221,11.9109,,,132.7312,9.3,KG1,538.0
538.5,-2.61206,52.1879,,17.5,12.5892,10.1058,13.3451,,,132.73421,9.3,KG1,538.5
539.0,-2.50226,52.1026,,17.5,12.424,10.613,14.9519,,,131.6716,9.3,KG1,539.0
539.5,-2.34307,51.9412,,17.5,12.0057,10.7572,16.582,,,127.0281,9.3,KG1,539.5
540.0,-2.25287,50.9472,,17.5,11.6002,10.7879,17.1309,,,124.1689,9.3,KG1,540.0
540.5,-2.31358,49.9017,,17.5,11.2123,10.79,17.0627,,,118.677,9.3,KG1,540.5
541.0,-2.68379,49.4973,,17.5,10.8654,10.537,16.2901,,,114.0305,9.3,KG1,541.0
541.5,-3.07349,49.5057,,17.5,10.5781,10.2381,15.496,,,112.7674,9.3,KG1,541.5
542.0,-3.328,49.977,,17.5,10.5396,9.9109,15.0156,,,114.7573,9.3,KG1,542.0
542.5,-3.4367,50.4329,,17.5,10.5787,10.0109,14.8121,,,116.5555,9.3,KG1,542.5
543.0,-3.34851,50.8111,,17.5,10.6535,10.1119,14.7189,,,117.6065,9.3,KG1,543.0
543.5,-3.42302,51.3575,,17.5,10.8042,10.2139,15.0327,,,119.3209,9.3,KG1,543.5
544.0,-3.85892,52.0757,,17.5,11.1415,10.527,15.589,,,122.6578,9.3,KG1,544.0
544.5,-4.35483,52.1744,,17.5,11.5073,10.9513,16.2717,,,127.9353,9.3,KG1,544.5
