DEPT,SP,GR,CALI,BITSIZE,MSFL,LL8,ILM,ILD,NPHI,RHOB,DT,MUDWGT,well_name,DEPTH
166.5,-88.68573,78.0963,16.8262,17.5,69.5431,,25.847,52.1518,39.6818,2.3922,96.5684,8.7,AW1,166.5
167.0,-88.02356,80.0365,16.8264,17.5,66.7991,,25.865,51.6687,41.185,2.4125,98.3855,8.7,AW1,167.0
167.5,-87.50406,80.6265,16.8267,17.5,64.5849,,25.6577,50.9359,42.1403,2.3908,100.3349,8.7,AW1,167.5
168.0,-86.76175,78.0661,16.827,17.5,63.3405,,25.4819,50.2401,40.5247,2.4464,105.3489,8.7,AW1,168.0
168.5,-85.76785,75.9532,16.8273,17.5,62.0362,,25.4788,49.9864,37.0714,2.4834,120.2268,8.7,AW1,168.5
169.0,-84.81406,76.063,16.8276,17.5,60.7587,,25.4828,49.734,34.818,2.4979,108.5142,8.7,AW1,169.0
169.5,-83.97037,77.6085,16.8278,17.5,59.8862,,25.213,49.4867,34.088,2.5131,113.4652,8.7,AW1,169.5
170.0,-83.12656,79.678,16.8281,17.5,59.1564,,24.7592,50.4829,34.0468,2.5228,114.6852,8.7,AW1,170.0
170.5,-82.28287,80.923,16.8284,17.5,57.5181,,24.4397,51.9488,34.3788,2.532,140.0231,8.7,AW1,170.5
171.0,-81.66336,80.156,16.8287,17.5,56.0222,,24.4821,52.1606,34.4992,2.5327,132.11211,8.7,AW1,171.0
171.5,-80.48218,80.3885,16.829,17.5,56.2278,,24.5478,52.3734,34.5253,2.5339,130.93291,8.7,AW1,171.5
172.0,-79.74817,81.4583,16.8292,17.5,56.4342,,24.2655,52.587,35.3873,2.5216,135.243,8.7,AW1,172.0
172.5,-79.08487,82.1477,16.8295,17.5,55.6491,,23.9333,52.8014,35.675,2.5125,139.7605,8.7,AW1,172.5
173.0,-78.17468,81.7754,16.8298,17.5,54.7861,,24.1257,52.9066,35.6003,2.511,124.4811,8.7,AW1,173.0
173.5,-77.43539,81.1024,16.8301,17.5,55.0238,,25.2052,52.9189,35.3767,2.5067,129.7928,8.7,AW1,173.5
174.0,-77.42657,80.5406,16.8304,17.5,55.3094,,26.58,52.9311,35.1016,2.503,139.677,8.7,AW1,174.0
174.5,-77.43039,79.4329,16.8306,17.5,57.0666,,27.5523,53.0099,35.1008,2.527,133.2691,8.7,AW1,174.5
175.0,-77.32739,77.2802,16.8309,17.5,58.8796,,27.4479,53.8485,35.393,2.4891,123.034,8.7,AW1,175.0
175.5,-77.18439,75.2682,16.8312,17.5,59.8868,,26.9124,54.3116,36.0586,2.4459,108.5518,8.7,AW1,175.5
176.0,-77.01691,73.1758,16.8315,17.5,60.4612,,26.5608,54.7788,36.9607,2.4394,108.402,8.7,AW1,176.0
176.5,-76.8493,72.4049,16.8318,17.5,61.0412,,26.3706,55.25,38.0316,2.4182,103.4123,8.7,AW1,176.5
177.0,-76.62399,72.9866,16.832,17.5,61.6268,,26.0638,55.6536,36.5005,2.4189,106.4394,8.7,AW1,177.0
177.5,-76.39572,74.7558,16.8323,17.5,60.889,,25.6387,54.2277,35.5507,2.4077,103.5959,8.7,AW1,177.5
178.0,-76.39642,77.7595,16.8326,17.5,59.7287,,25.498,52.8384,37.8947,2.3319,101.927,8.7,AW1,178.0
178.5,-76.26022,80.4273,16.8329,17.5,59.082,,25.3761,51.5619,41.2134,2.2648,114.2993,8.7,AW1,178.5
179.0,-75.89951,83.1353,16.8332,17.5,58.8592,,24.7851,51.0977,42.4097,2.2601,130.8576,8.7,AW1,179.0
179.5,-75.53873,85.24,16.8334,17.5,58.6373,,24.3442,50.6376,39.9137,2.4356,113.4071,8.7,AW1,179.5
180.0,-75.17801,85.2006,16.8337,17.5,58.4162,,24.0084,50.5004,36.7361,2.537,124.2742,8.7,AW1,180.0
180.5,-74.81732,84.3495,16.834,17.5,58.196,,24.1272,51.2418,34.824,2.5473,130.7697,8.7,AW1,180.5
181.0,-74.14734,84.3216,16.8343,17.5,57.9766,,24.528,51.9941,34.3557,2.5424,126.1021,8.7,AW1,181.0
181.5,-73.47354,84.6493,16.8346,17.5,57.758,,24.9518,52.7575,33.8757,2.5394,129.78529,8.7,AW1,181.5
182.0,-72.91425,85.5165,16.8349,17.5,57.5402,,25.1397,52.9775,33.1819,2.5436,126.3357,8.7,AW1,182.0
182.5,-72.57483,86.1885,16.8351,17.5,57.8881,,25.2193,52.9786,32.7557,2.5439,122.0131,8.7,AW1,182.5
183.0,-72.16464,84.8646,16.8354,17.5,58.2568,,25.3472,52.9798,33.9116,2.5339,117.4822,8.7,AW1,183.0
183.5,-71.61026,82.3945,16.8357,17.5,58.6279,,25.4965,53.5706,35.0947,2.5395,110.9458,8.7,AW1,183.5
184.0,-71.55374,80.1717,16.836,17.5,59.0013,,25.258,52.6326,35.6618,2.5403,97.7514,8.7,AW1,184.0
184.5,-71.36566,78.9786,16.8363,17.5,59.1315,,24.9752,52.1404,36.1044,2.5187,99.2041,8.7,AW1,184.5
185.0,-70.34335,78.853,16.8365,17.5,59.1445,,24.4556,51.4623,37.0936,2.5068,106.6996,8.7,AW1,185.0
